Chromosome/scaffold name	Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)
MT	ENSG00000210049	ENSG00000210049.1	577	647
MT	ENSG00000211459	ENSG00000211459.2	648	1601
MT	ENSG00000210077	ENSG00000210077.1	1602	1670
MT	ENSG00000210082	ENSG00000210082.2	1671	3229
MT	ENSG00000209082	ENSG00000209082.1	3230	3304
MT	ENSG00000198888	ENSG00000198888.2	3307	4262
MT	ENSG00000210100	ENSG00000210100.1	4263	4331
MT	ENSG00000210107	ENSG00000210107.1	4329	4400
MT	ENSG00000210112	ENSG00000210112.1	4402	4469
MT	ENSG00000198763	ENSG00000198763.3	4470	5511
MT	ENSG00000210117	ENSG00000210117.1	5512	5579
MT	ENSG00000210127	ENSG00000210127.1	5587	5655
MT	ENSG00000210135	ENSG00000210135.1	5657	5729
MT	ENSG00000210140	ENSG00000210140.1	5761	5826
MT	ENSG00000210144	ENSG00000210144.1	5826	5891
MT	ENSG00000198804	ENSG00000198804.2	5904	7445
MT	ENSG00000210151	ENSG00000210151.2	7446	7514
MT	ENSG00000210154	ENSG00000210154.1	7518	7585
MT	ENSG00000198712	ENSG00000198712.1	7586	8269
MT	ENSG00000210156	ENSG00000210156.1	8295	8364
MT	ENSG00000228253	ENSG00000228253.1	8366	8572
MT	ENSG00000198899	ENSG00000198899.2	8527	9207
MT	ENSG00000198938	ENSG00000198938.2	9207	9990
MT	ENSG00000210164	ENSG00000210164.1	9991	10058
MT	ENSG00000198840	ENSG00000198840.2	10059	10404
MT	ENSG00000210174	ENSG00000210174.1	10405	10469
MT	ENSG00000212907	ENSG00000212907.2	10470	10766
MT	ENSG00000198886	ENSG00000198886.2	10760	12137
MT	ENSG00000210176	ENSG00000210176.1	12138	12206
MT	ENSG00000210184	ENSG00000210184.1	12207	12265
MT	ENSG00000210191	ENSG00000210191.1	12266	12336
MT	ENSG00000198786	ENSG00000198786.2	12337	14148
MT	ENSG00000198695	ENSG00000198695.2	14149	14673
MT	ENSG00000210194	ENSG00000210194.1	14674	14742
MT	ENSG00000198727	ENSG00000198727.2	14747	15887
MT	ENSG00000210195	ENSG00000210195.2	15888	15953
MT	ENSG00000210196	ENSG00000210196.2	15956	16023
KI270711.1	ENSG00000271254	ENSG00000271254.6	4612	29626
CHR_HSCHR2_2_CTG1	ENSG00000280538	ENSG00000280538.1	753629	754224
KI270442.1	ENSG00000278457	ENSG00000278457.1	380608	380726
GL000009.2	ENSG00000278704	ENSG00000278704.1	56140	58376
CHR_HSCHR1_1_CTG31	ENSG00000262826	ENSG00000262826.5	153745298	153792039
KI270442.1	ENSG00000278294	ENSG00000278294.1	217250	217401
CHR_HSCHR2_2_CTG1	ENSG00000281806	ENSG00000281806.1	745961	754657
CHR_HSCHR2_2_CTG1	ENSG00000281362	ENSG00000281362.1	784657	859032
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	ENSG00000273947	ENSG00000273947.5	54738538	54753053
CHR_HSCHR5_2_CTG1	ENSG00000275151	ENSG00000275151.1	29113759	29114317
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	ENSG00000274861	ENSG00000274861.4	54707916	54713453
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	ENSG00000276779	ENSG00000276779.1	54803599	54814548
CHR_HSCHR5_2_CTG1	ENSG00000279969	ENSG00000279969.1	29200579	29225491
CHR_HSCHR5_2_CTG1	ENSG00000274882	ENSG00000274882.4	29152383	29181238
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	ENSG00000274339	ENSG00000274339.1	54700593	54700905
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000273735	ENSG00000273735.4	54864204	54872914
CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	ENSG00000276820	ENSG00000276820.1	54813971	54828213
CHR_HSCHR19KIR_FH13_A_HAP_CTG3_1	ENSG00000273775	ENSG00000273775.5	54816442	54830745
CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	ENSG00000278306	ENSG00000278306.1	54782354	54796789
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274324	ENSG00000274324.1	54877320	54892899
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000276433	ENSG00000276433.1	54724498	54736060
CHR_HSCHR19KIR_FH05_B_HAP_CTG3_1	ENSG00000275732	ENSG00000275732.4	54847612	54858688
CHR_HSCHR5_2_CTG1	ENSG00000277995	ENSG00000277995.1	29079384	29079498
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000274130	ENSG00000274130.1	54703952	54704235
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000278731	ENSG00000278731.5	54754673	54769220
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000277921	ENSG00000277921.1	54700593	54700905
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000277554	ENSG00000277554.5	54738470	54752993
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000277620	ENSG00000277620.1	54724450	54736092
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000276970	ENSG00000276970.1	54754966	54767314
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000278074	ENSG00000278074.1	54803565	54814279
CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	ENSG00000277272	ENSG00000277272.5	54816451	54830756
CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	ENSG00000276044	ENSG00000276044.4	54833799	54844782
CHR_HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	ENSG00000277355	ENSG00000277355.4	54789806	54800882
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000274714	ENSG00000274714.1	54819131	54834528
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	ENSG00000274807	ENSG00000274807.4	54832788	54848156
CHR_HSCHR20_1_CTG3	ENSG00000280663	ENSG00000280663.4	64259386	64278487
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000277334	ENSG00000277334.4	54892528	54896443
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000276379	ENSG00000276379.1	54816496	54820397
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000275442	ENSG00000275442.4	54707916	54713453
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000276518	ENSG00000276518.1	54771247	54784650
CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	ENSG00000278152	ENSG00000278152.2	54738439	54769215
CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	ENSG00000277484	ENSG00000277484.5	54738471	54753005
CHR_HSCHR19KIR_FH15_A_HAP_CTG3_1	ENSG00000273575	ENSG00000273575.4	54803379	54814527
CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	ENSG00000273510	ENSG00000273510.1	54769838	54784324
CHR_HSCHR19KIR_FH06_BA1_HAP_CTG3_1	ENSG00000275237	ENSG00000275237.4	54789912	54800893
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	ENSG00000275751	ENSG00000275751.4	54786398	54798220
CHR_HSCHR19KIR_FH06_A_HAP_CTG3_1	ENSG00000276858	ENSG00000276858.4	54874219	54890443
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000277616	ENSG00000277616.1	54814388	54828892
CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	ENSG00000275717	ENSG00000275717.5	54816473	54830785
CHR_HSCHR20_1_CTG3	ENSG00000277044	ENSG00000277044.3	64097802	64100643
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000273670	ENSG00000273670.1	54700593	54700905
CHR_HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	ENSG00000277251	ENSG00000277251.5	54754680	54769221
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000274476	ENSG00000274476.1	54754923	54767817
CHR_HSCHR20_1_CTG3	ENSG00000277339	ENSG00000277339.2	64105820	64107171
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000277456	ENSG00000277456.1	54703952	54704235
CHR_HSCHR19KIR_G085_A_HAP_CTG3_1	ENSG00000278606	ENSG00000278606.4	54803296	54814484
CHR_HSCHR20_1_CTG3	ENSG00000280695	ENSG00000280695.1	64143780	64147290
CHR_HSCHR20_1_CTG3	ENSG00000276876	ENSG00000276876.4	64155437	64245898
CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	ENSG00000276501	ENSG00000276501.5	54861074	54875379
CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	ENSG00000276328	ENSG00000276328.1	54724453	54736091
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000273755	ENSG00000273755.4	54707916	54713341
CHR_HSCHR1_1_CTG31	ENSG00000262025	ENSG00000262025.1	153869337	153870645
CHR_HSCHR1_1_CTG31	ENSG00000263275	ENSG00000263275.1	153768214	153769407
CHR_HSCHR1_1_CTG31	ENSG00000262299	ENSG00000262299.1	153812404	153819322
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000275407	ENSG00000275407.1	54754722	54769049
CHR_HSCHR1_1_CTG31	ENSG00000262767	ENSG00000262767.1	153713833	153714877
CHR_HSCHR1_1_CTG31	ENSG00000261992	ENSG00000261992.2	153821956	153845579
CHR_HSCHR19KIR_FH13_BA2_HAP_CTG3_1	ENSG00000278805	ENSG00000278805.1	54814475	54828769
